Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,167.72229,31.884506,819.138367,150.254242,23.780746,893.033752,151.34111,89.926598,860.181641,143.368225,175.249771,821.573669,,,,140.735092,401.454285,803.671631,98.133461,396.168091,845.367493,107.747879,296.05545,860.32666,130.164734,483.737427,864.71228
2,0,121.431358,-79.638229,933.899414,167.728745,31.878397,819.028442,150.264618,23.811138,892.940613,151.369415,89.94854,860.042664,143.392441,175.25737,821.347412,,,,140.772522,401.459045,803.325134,98.177681,396.195465,845.022156,107.799095,296.094177,860.048767,130.20311,483.772797,864.304626
3,0,121.432335,-79.61734,933.88385,167.736099,31.870455,818.913757,150.275864,23.841757,892.843384,151.399429,89.969826,859.897339,143.418976,175.263199,821.11145,,,,140.81076,401.461731,802.963562,98.223351,396.221436,844.662537,107.852798,296.132172,859.758911,130.242569,483.807037,863.880432
4,0,121.433426,-79.595909,933.867615,167.744339,31.86059,818.79425,150.287949,23.872572,892.741882,151.431183,89.990395,859.7453,143.447968,175.267166,820.865601,,,,140.849731,401.462189,802.586792,98.27047,396.245758,844.288513,107.90905,296.169312,859.456726,130.283127,483.840027,863.439697
5,0,121.434654,-79.573936,933.850952,167.753525,31.848707,818.669861,150.300949,23.903538,892.635864,151.464767,90.010155,859.58667,143.479446,175.26915,820.609497,,,,140.88942,401.460419,802.194397,98.319054,396.268402,843.899841,107.967911,296.205475,859.14209,130.324753,483.871704,862.981995
6,0,121.435989,-79.551437,933.833679,167.763687,31.834707,818.540405,150.314896,23.93462,892.525574,151.500168,90.02903,859.421082,143.51358,175.269058,820.343262,,,,140.929855,401.456207,801.786438,98.36911,396.289185,843.496216,108.029434,296.240448,858.814697,130.367432,483.901886,862.507019
7,0,121.437477,-79.528389,933.815796,167.774872,31.818495,818.405884,150.329819,23.965773,892.410645,151.537476,90.046974,859.248535,143.5504,175.266739,820.066528,,,,140.970993,401.449402,801.362366,98.420639,396.308014,843.077332,108.093666,296.274261,858.474487,130.411163,483.93045,862.014709
8,0,121.439087,-79.504829,933.797424,167.787125,31.799965,818.266174,150.345718,23.996948,892.291138,151.576736,90.063866,859.068726,143.590012,175.262115,819.779175,,,,141.012787,401.439941,800.921997,98.473656,396.324707,842.643188,108.160675,296.306793,858.121094,130.455963,483.957275,861.504761
