Trajectories
200
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,329.745636,76.171768,833.742432,308.432007,64.557800,907.385437,314.190338,131.636612,879.305664,312.169098,220.671707,849.955322,,,,306.424896,447.097382,852.316467,263.535339,440.829865,893.131592,272.177185,337.603577,896.567139,306.998901,525.226990,916.045471
2,0,274.883514,-35.647770,937.034119,329.743744,76.177757,833.680420,308.441650,64.583084,907.344421,314.211639,131.663300,879.244202,312.187286,220.708481,849.849854,,,,306.385284,447.138367,852.194397,263.516693,440.868042,893.016724,272.195984,337.643982,896.462769,306.970184,525.269836,915.905334
3,0,274.878845,-35.633926,937.028870,329.742310,76.182915,833.614929,308.452057,64.608879,907.300415,314.234497,131.690079,879.178101,312.207367,220.745239,849.737305,,,,306.344086,447.179382,852.063354,263.497406,440.906006,892.893555,272.216156,337.684509,896.350952,306.940155,525.312622,915.756165
4,0,274.874176,-35.619713,937.023376,329.741455,76.187180,833.545898,308.463379,64.635170,907.253296,314.258972,131.716934,879.107239,312.229584,220.781937,849.617310,,,,306.301331,447.220428,851.923157,263.477539,440.943726,892.761902,272.237793,337.725159,896.231384,306.908875,525.355164,915.597534
5,0,274.869507,-35.605141,937.017700,329.741119,76.190475,833.473267,308.475555,64.661949,907.203003,314.285065,131.743866,879.031555,312.253876,220.818512,849.489685,,,,306.256989,447.261353,851.773499,263.456970,440.980988,892.621460,272.260925,337.765869,896.103943,306.876373,525.397705,915.429382
6,0,274.864807,-35.590202,937.011658,329.741486,76.192764,833.396790,308.488678,64.689194,907.149353,314.312927,131.770767,878.950745,312.280365,220.854889,849.354065,,,,306.210968,447.302216,851.614014,263.435791,441.017822,892.472046,272.285583,337.806580,895.968201,306.842499,525.440002,915.251221
7,0,274.860046,-35.574902,937.005371,329.742432,76.193977,833.316467,308.502716,64.716888,907.092407,314.342590,131.797607,878.864685,312.309143,220.891037,849.210510,,,,306.163300,447.342865,851.444397,263.413971,441.054169,892.313293,272.311798,337.847198,895.823975,306.807373,525.481873,915.062866
8,0,274.855286,-35.559250,936.998779,329.744080,76.194061,833.232117,308.517792,64.745026,907.031860,314.373993,131.824387,878.773315,312.340363,220.926865,849.058533,,,,306.113983,447.383240,851.264404,263.391479,441.089844,892.144897,272.339661,337.887695,895.671021,306.770874,525.523438,914.864014
9,0,274.850586,-35.543243,936.991882,329.746429,76.192947,833.143799,308.533813,64.773567,906.967712,314.407379,131.851013,878.676331,312.373993,220.962250,848.897949,,,,306.062988,447.423309,851.073669,263.368317,441.124756,891.966675,272.369232,337.927979,895.509033,306.733002,525.564453,914.654297
10,0,274.845825,-35.526894,936.984680,329.749481,76.190552,833.051270,308.550995,64.802505,906.899780,314.442627,131.877487,878.573730,312.410248,220.997177,848.728516,,,,306.010284,447.462891,850.871948,263.344482,441.158936,891.778320,272.400543,337.967926,895.337830,306.693756,525.604858,914.433594
11,0,274.841125,-35.510201,936.977173,329.753387,76.186829,832.954529,308.569153,64.831825,906.828125,314.479919,131.903687,878.465149,312.449097,221.031540,848.550049,,,,305.955841,447.501953,850.658691,263.320038,441.192139,891.579529,272.433594,338.007507,895.157043,306.653137,525.644531,914.201355
12,0,274.836487,-35.493179,936.969299,329.758148,76.181679,832.853455,308.588501,64.861481,906.752380,314.519196,131.929626,878.350586,312.490692,221.065231,848.362183,,,,305.899658,447.540436,850.433960,263.294891,441.224396,891.369995,272.468506,338.046631,894.966431,306.611084,525.683472,913.957520
13,0,274.831848,-35.475830,936.961121,329.763702,76.175056,832.747864,308.608978,64.891464,906.672729,314.560638,131.955185,878.229797,312.535126,221.098206,848.164856,,,,305.841705,447.578156,850.197083,263.269135,441.255463,891.149353,272.505280,338.085266,894.765747,306.567627,525.721436,913.701782
14,0,274.827271,-35.458168,936.952515,329.770233,76.166878,832.637817,308.630676,64.921745,906.588806,314.604218,131.980362,878.102600,312.582458,221.130325,847.957581,,,,305.782013,447.615143,849.947937,263.242676,441.285309,890.917419,272.544037,338.123169,894.554749,306.522766,525.758484,913.433594
15,0,274.822815,-35.440193,936.943726,329.777679,76.157059,832.523132,308.653564,64.952278,906.500610,314.650024,132.005051,877.968811,312.632843,221.161514,847.740234,,,,305.720581,447.651184,849.686096,263.215576,441.313812,890.673828,272.584747,338.160400,894.333069,306.476379,525.794373,913.152893
16,0,274.818359,-35.421917,936.934387,329.786194,76.145515,832.403748,308.677734,64.983040,906.408081,314.698090,132.029205,877.828308,312.686249,221.191635,847.512573,,,,305.657288,447.686188,849.411316,263.187805,441.340790,890.418274,272.627472,338.196716,894.100403,306.428589,525.829041,912.859253
17,0,274.814026,-35.403351,936.924805,329.795654,76.132179,832.279480,308.703186,65.014008,906.311035,314.748535,132.052765,877.680847,312.742798,221.220612,847.274170,,,,305.592224,447.720123,849.123169,263.159363,441.366211,890.150635,272.672302,338.232117,893.856628,306.379303,525.862305,912.552368
18,0,274.809845,-35.384514,936.914795,329.806274,76.116951,832.150452,308.729950,65.045128,906.209351,314.801270,132.075653,877.526367,312.802612,221.248322,847.024963,,,,305.525360,447.752777,848.821472,263.130280,441.389862,889.870422,272.719269,338.266449,893.601379,306.328491,525.893921,912.231995
19,0,274.805725,-35.365402,936.904419,329.817993,76.099762,832.016357,308.758087,65.076370,906.102966,314.856537,132.097794,877.364502,312.865753,221.274658,846.764648,,,,305.456726,447.784027,848.505798,263.100586,441.411652,889.577332,272.768372,338.299591,893.334351,306.276245,525.924011,911.897705
20,0,274.801788,-35.346046,936.893555,329.830841,76.080490,831.877197,308.787598,65.107704,905.991699,314.914215,132.119110,877.195374,312.932312,221.299484,846.492798,,,,305.386261,447.813843,848.175842,263.070221,441.431396,889.271179,272.819794,338.331451,893.055237,306.222473,525.952332,911.549438
21,0,274.798004,-35.326439,936.882385,329.844940,76.059082,831.732788,308.818542,65.139053,905.875488,314.974457,132.139526,877.018494,313.002411,221.322678,846.209412,,,,305.314026,447.841980,847.831177,263.039276,441.449005,888.951660,272.873444,338.361847,892.763855,306.167175,525.978699,911.186646
22,0,274.794403,-35.306614,936.870667,329.860321,76.035393,831.583191,308.850983,65.170418,905.754272,315.037354,132.158920,876.833923,313.075989,221.344101,845.914062,,,,305.239990,447.868378,847.471680,263.007660,441.464294,888.618408,272.929443,338.390717,892.459839,306.110443,526.002869,910.809021
23,0,274.791016,-35.286575,936.858643,329.877014,76.009354,831.428284,308.884888,65.201714,905.627808,315.102814,132.177261,876.641418,313.153290,221.363617,845.606506,,,,305.164124,447.892822,847.096924,262.975464,441.477142,888.271179,272.987823,338.417847,892.142883,306.052155,526.024963,910.416504
24,0,274.787781,-35.266338,936.846130,329.895081,75.980843,831.267700,308.920349,65.232910,905.495972,315.170990,132.194443,876.440674,313.234314,221.381088,845.286560,,,,305.086487,447.915253,846.706421,262.942627,441.487335,887.909729,273.048615,338.443115,891.812744,305.992371,526.044495,910.008545
25,0,274.784821,-35.245930,936.833069,329.914551,75.949738,831.101685,308.957397,65.263954,905.358826,315.241974,132.210373,876.231750,313.319214,221.396378,844.953857,,,,305.007080,447.935425,846.300110,262.909241,441.494751,887.533691,273.111877,338.466431,891.469177,305.931030,526.061462,909.584961
26,0,274.782166,-35.225349,936.819702,329.935394,75.915916,830.929932,308.996063,65.294785,905.216125,315.315704,132.224945,876.014282,313.407959,221.409286,844.608154,,,,304.925903,447.953247,845.877563,262.875244,441.499237,887.142700,273.177704,338.487610,891.111816,305.868225,526.075745,909.145386
27,0,274.779694,-35.204632,936.805847,329.957825,75.879272,830.752319,309.036316,65.325348,905.067810,315.392242,132.238068,875.788208,313.500702,221.419724,844.249329,,,,304.842987,447.968567,845.438477,262.840668,441.500549,886.736755,273.246124,338.506470,890.740417,305.803986,526.086975,908.689636
28,0,274.777588,-35.183784,936.791504,329.981720,75.839668,830.568787,309.078278,65.355591,904.913635,315.471741,132.249619,875.553223,313.597565,221.427475,843.876953,,,,304.758270,447.981140,844.982361,262.805511,441.498535,886.315308,273.317169,338.522858,890.354614,305.738190,526.095154,908.217224
29,0,274.775818,-35.162830,936.776550,330.007233,75.796974,830.379150,309.121948,65.385445,904.753601,315.554108,132.259537,875.309326,313.698517,221.432388,843.490967,,,,304.671875,447.990906,844.509155,262.769836,441.493042,885.878174,273.390869,338.536621,889.954346,305.670929,526.100037,907.728149
30,0,274.774384,-35.141785,936.761230,330.034302,75.751053,830.183411,309.167328,65.414856,904.587708,315.639465,132.267654,875.056335,313.803802,221.434280,843.090881,,,,304.583801,447.997559,844.018433,262.733673,441.483826,885.425049,273.467316,338.547546,889.539124,305.602203,526.101440,907.221863
31,0,274.773285,-35.120686,936.745483,330.063141,75.701759,829.981323,309.214508,65.443748,904.415588,315.727875,132.273911,874.793945,313.913330,221.432968,842.676697,,,,304.494019,448.001007,843.509827,262.696960,441.470673,884.955627,273.546478,338.555511,889.108704,305.532013,526.099060,906.698242
32,0,274.772583,-35.099541,936.729126,330.093628,75.648949,829.772827,309.263428,65.472054,904.237244,315.819366,132.278168,874.522095,314.027344,221.428253,842.247986,,,,304.402618,448.001038,842.983154,262.659729,441.453491,884.469727,273.628510,338.560303,888.662964,305.460388,526.092896,906.156921
33,0,274.772339,-35.078369,936.712280,330.125824,75.592499,829.557739,309.314240,65.499710,904.052734,315.913879,132.280304,874.240540,314.145844,221.419983,841.804565,,,,304.309570,447.997406,842.437988,262.622101,441.431946,883.967102,273.713379,338.561737,888.201477,305.387390,526.082397,905.597656
34,0,274.772552,-35.057205,936.694885,330.159912,75.532219,829.335999,309.366943,65.526627,903.861694,316.011597,132.280197,873.949158,314.268890,221.407928,841.346069,,,,304.215027,447.989899,841.874146,262.583984,441.405853,883.447266,273.801147,338.559631,887.723999,305.312927,526.067749,905.020142
35,0,274.773254,-35.036072,936.676941,330.195740,75.467995,829.107544,309.421478,65.552757,903.664062,316.112457,132.277725,873.647827,314.396545,221.391891,840.872498,,,,304.118835,447.978394,841.291199,262.545441,441.375061,882.910217,273.891937,338.553741,887.230225,305.237122,526.048401,904.424194
36,0,274.774414,-35.014996,936.658508,330.233521,75.399666,828.872070,309.477966,65.577988,903.459839,316.216583,132.272766,873.336243,314.528992,221.371643,840.383545,,,,304.021179,447.962616,840.689026,262.506470,441.339264,882.355469,273.985687,338.543823,886.720032,305.159943,526.024353,903.809509
37,0,274.776093,-34.993992,936.639465,330.273193,75.327080,828.629761,309.536407,65.602272,903.248840,316.323944,132.265182,873.014465,314.666229,221.346954,839.878784,,,,303.922089,447.942352,840.067261,262.467133,441.298248,881.782898,274.082458,338.529785,886.192993,305.081421,525.995178,903.175842
38,0,274.778381,-34.973095,936.619995,330.314819,75.250076,828.380249,309.596802,65.625504,903.031006,316.434570,132.254822,872.682068,314.808380,221.317642,839.358276,,,,303.821533,447.917328,839.425598,262.427460,441.251770,881.192200,274.182312,338.511383,885.648987,305.001678,525.960876,902.522888
39,0,274.781189,-34.952335,936.599854,330.358429,75.168488,828.123474,309.659210,65.647598,902.806152,316.548492,132.241547,872.339111,314.955444,221.283432,838.821533,,,,303.719604,447.887421,838.763977,262.387421,441.199615,880.583191,274.285339,338.488312,885.087585,304.920593,525.920898,901.850464
40,0,274.784668,-34.931732,936.579224,330.404083,75.082176,827.859375,309.723694,65.668488,902.574158,316.665833,132.225250,871.985291,315.107483,221.244125,838.268433,,,,303.616364,447.852295,838.081970,262.347137,441.141479,879.955444,274.391571,338.460419,884.508789,304.838257,525.875244,901.158264
41,0,274.788696,-34.911316,936.557922,330.451813,74.990952,827.587952,309.790192,65.688042,902.335083,316.786530,132.205734,871.620605,315.264648,221.199448,837.698853,,,,303.511871,447.811676,837.379333,262.306580,441.077209,879.308960,274.501007,338.427399,883.912170,304.754730,525.823547,900.446167
42,0,274.793488,-34.891121,936.536194,330.501709,74.894676,827.309021,309.858826,65.706200,902.088745,316.910583,132.182861,871.244751,315.426880,221.149155,837.112610,,,,303.406128,447.765381,836.655945,262.265747,441.006439,878.643311,274.613647,338.389099,883.297485,304.670044,525.765564,899.713806
43,0,274.798859,-34.871181,936.513855,330.553711,74.793152,827.022400,309.929535,65.722855,901.835022,317.038116,132.156509,870.857605,315.594360,221.093048,836.509216,,,,303.299255,447.713104,835.911499,262.224701,440.928925,877.958435,274.729675,338.345184,882.664673,304.584198,525.700928,898.961060
44,0,274.805054,-34.851513,936.490845,330.607910,74.686226,826.727966,310.002411,65.737892,901.573792,317.169098,132.126480,870.458984,315.767029,221.030792,835.888733,,,,303.191284,447.654572,835.145874,262.183502,440.844482,877.253967,274.848969,338.295471,882.013184,304.497314,525.629517,898.187561
45,0,274.811890,-34.832161,936.467346,330.664368,74.573723,826.425903,310.077423,65.751236,901.304871,317.303558,132.092621,870.048889,315.944977,220.962173,835.250916,,,,303.082275,447.589447,834.358887,262.142151,440.752716,876.529663,274.971710,338.239685,881.343140,304.409332,525.550964,897.393311
46,0,274.819550,-34.813148,936.443176,330.723083,74.455475,826.115784,310.154633,65.762764,901.028381,317.441559,132.054794,869.626953,316.128265,220.886917,834.595520,,,,302.972382,447.517548,833.550293,262.100739,440.653412,875.785461,275.097839,338.177521,880.654053,304.320374,525.465027,896.577881
47,0,274.828003,-34.794510,936.418396,330.784088,74.331284,825.797729,310.234070,65.772385,900.744141,317.583069,132.012787,869.193176,316.316864,220.804718,833.922302,,,,302.861633,447.438477,832.719910,262.059174,440.546204,875.020996,275.227448,338.108765,879.945801,304.230408,525.371338,895.741211
